Dominant_Topic,Topic_Perc_Contrib,Keywords
19,0.5851768851280212,"loan,interest,company,asset,financial,loss,security,value,rate,year"
15,0.975225031375885,"trust,interest,unit,property,royalty,net,gas,production,price,income"
8,0.377164751291275,"company,property,interest,year,income,share,financial,lease,include,net"
0,0.9275887608528137,"company,financial,bank,may,loan,report,capital,institution,include,risk"
13,0.43764135241508484,"loan,financial,interest,income,value,security,asset,loss,rate,net"
8,0.9752442240715027,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.8498252034187317,"company,property,interest,year,income,share,financial,lease,include,net"
12,0.9228226542472839,"property,may,interest,share,year,income,investment,value,rate,real"
0,0.9998302459716797,"company,financial,bank,may,loan,report,capital,institution,include,risk"
2,0.7553895115852356,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
0,0.9185581207275391,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.8939043283462524,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.48327958583831787,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.888905942440033,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8042171597480774,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.9282841682434082,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.8612444996833801,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.9117599725723267,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.8695095181465149,"loan,interest,company,asset,financial,loss,security,value,rate,year"
2,0.4156986474990845,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
19,0.7827426195144653,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.7304303050041199,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6957343816757202,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.44790133833885193,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.44407621026039124,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.5765414237976074,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.6768964529037476,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.9182605147361755,"company,financial,bank,may,loan,report,capital,institution,include,risk"
8,0.753105103969574,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6739422082901001,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.5422526597976685,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.6915679574012756,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.5052210688591003,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.7474170327186584,"company,property,interest,year,income,share,financial,lease,include,net"
13,0.8848020434379578,"loan,financial,interest,income,value,security,asset,loss,rate,net"
12,0.7202620506286621,"property,may,interest,share,year,income,investment,value,rate,real"
8,0.5668089985847473,"company,property,interest,year,income,share,financial,lease,include,net"
13,0.7065529227256775,"loan,financial,interest,income,value,security,asset,loss,rate,net"
8,0.8803216814994812,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.5973886847496033,"loan,interest,company,asset,financial,loss,security,value,rate,year"
11,0.993840217590332,"investment,company,fund,financial,asset,share,income,net,year,management"
13,0.6845946311950684,"loan,financial,interest,income,value,security,asset,loss,rate,net"
3,0.40206894278526306,"company,loan,interest,financial,note,share,statement,agreement,real,director"
19,0.845008373260498,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.8591436743736267,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
12,0.9727972149848938,"property,may,interest,share,year,income,investment,value,rate,real"
16,0.41361814737319946,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
19,0.927696168422699,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.7909379601478577,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.8538103699684143,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.9683055877685547,"property,may,interest,share,year,income,investment,value,rate,real"
12,0.8534457087516785,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.548196017742157,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7653622627258301,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.8108817934989929,"company,financial,bank,may,loan,report,capital,institution,include,risk"
6,0.4549976587295532,"merchant,sale,year,stock,share,company,financial,cost,may,include"
8,0.5282313227653503,"company,property,interest,year,income,share,financial,lease,include,net"
4,0.8862149715423584,"company,financial,year,stock,service,revenue,include,market,may,business"
4,0.7555261850357056,"company,financial,year,stock,service,revenue,include,market,may,business"
10,0.8116999864578247,"loan,credit,value,loss,interest,asset,include,rate,net,income"
10,0.5273554921150208,"loan,credit,value,loss,interest,asset,include,rate,net,income"
0,0.9872190952301025,"company,financial,bank,may,loan,report,capital,institution,include,risk"
12,0.8880060315132141,"property,may,interest,share,year,income,investment,value,rate,real"
4,0.5842297673225403,"company,financial,year,stock,service,revenue,include,market,may,business"
8,0.7121783494949341,"company,property,interest,year,income,share,financial,lease,include,net"
8,0.5524653792381287,"company,property,interest,year,income,share,financial,lease,include,net"
2,0.6882886290550232,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
19,0.8774492144584656,"loan,interest,company,asset,financial,loss,security,value,rate,year"
0,0.7083615064620972,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.8063133358955383,"company,financial,bank,may,loan,report,capital,institution,include,risk"
0,0.8255822658538818,"company,financial,bank,may,loan,report,capital,institution,include,risk"
19,0.7317453026771545,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.7156689167022705,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.7499311566352844,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8853122591972351,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.804567277431488,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
12,0.8271779417991638,"property,may,interest,share,year,income,investment,value,rate,real"
13,0.6700112819671631,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.8475721478462219,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7148045301437378,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7988003492355347,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.37219929695129395,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.7597543597221375,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.6231817603111267,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.7664083242416382,"loan,interest,company,asset,financial,loss,security,value,rate,year"
12,0.7352176308631897,"property,may,interest,share,year,income,investment,value,rate,real"
19,0.9109891653060913,"loan,interest,company,asset,financial,loss,security,value,rate,year"
18,0.7843143343925476,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
8,0.8140900135040283,"company,property,interest,year,income,share,financial,lease,include,net"
18,0.9287135004997253,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
8,0.5236217379570007,"company,property,interest,year,income,share,financial,lease,include,net"
1,0.41493263840675354,"insurance,company,loss,financial,year,value,premium,claim,mortgage,net"
13,0.4863578975200653,"loan,financial,interest,income,value,security,asset,loss,rate,net"
13,0.7686588168144226,"loan,financial,interest,income,value,security,asset,loss,rate,net"
3,0.36960461735725403,"company,loan,interest,financial,note,share,statement,agreement,real,director"
8,0.6177588105201721,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6678056716918945,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8089832663536072,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7221920490264893,"loan,interest,company,asset,financial,loss,security,value,rate,year"
